DATAFLOW,LAST UPDATE,freq,unit,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,AL,2018,4.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,AT,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,BE,2018,7.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,BG,2018,4.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,CH,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,CY,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,CZ,2018,6.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,DE,2018,7.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,DK,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,EE,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,EL,2018,5.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,ES,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,FI,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,FR,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,HR,2018,6.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,HU,2018,6.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,IE,2018,8.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,IS,2018,8.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,IT,2018,6.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,LT,2018,5.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,LU,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,LV,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,ME,2018,5.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,MK,2018,5.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,MT,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,NL,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,NO,2018,8.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,PL,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,PT,2018,7.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,RO,2018,5.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,RS,2018,5.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,SE,2018,7.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,SI,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,SK,2018,6.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,TR,2018,5.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED0-2,JOBSAT,T,Y_GE16,UK,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,AL,2018,5.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,AT,2018,8.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,BE,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,BG,2018,6.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,CH,2018,7.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,CY,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,CZ,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,DE,2018,7.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,DK,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,EE,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,EL,2018,6.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,ES,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,FI,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,FR,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,HR,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,HU,2018,7.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,IE,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,IS,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,IT,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,LT,2018,6.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,LU,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,LV,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,ME,2018,6.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,MK,2018,6.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,MT,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,NL,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,NO,2018,8.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,PL,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,PT,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,RO,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,RS,2018,6.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,SE,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,SI,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,SK,2018,6.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,TR,2018,6.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED3_4,JOBSAT,T,Y_GE16,UK,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,AL,2018,6.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,AT,2018,8.0,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,BE,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,BG,2018,7.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,CH,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,CY,2018,7.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,CZ,2018,7.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,DE,2018,7.2,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,DK,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,EE,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,EL,2018,6.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,ES,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,FI,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,FR,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,HR,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,HU,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,IE,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,IS,2018,8.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,IT,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,LT,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,LU,2018,7.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,LV,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,ME,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,MK,2018,7.4,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,MT,2018,7.7,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,NL,2018,7.5,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,NO,2018,7.9,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,PL,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,PT,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,RO,2018,8.3,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,RS,2018,7.1,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,SE,2018,7.6,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,SI,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,SK,2018,7.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,TR,2018,6.8,
ESTAT:ILC_PW01(1.0),06/12/22 11:00:00,A,RTG,ED5-8,JOBSAT,T,Y_GE16,UK,2018,7.2,
